Entity_Name,Year,Quarter,Type,Registered_User,State
744102,2019,4,Pincode,3485,andaman-&-nicobar-islands
744202,2019,4,Pincode,1087,andaman-&-nicobar-islands
744104,2019,4,Pincode,1062,andaman-&-nicobar-islands
744107,2019,4,Pincode,953,andaman-&-nicobar-islands
744112,2019,4,Pincode,812,andaman-&-nicobar-islands
744211,2019,4,Pincode,783,andaman-&-nicobar-islands
744301,2019,4,Pincode,611,andaman-&-nicobar-islands
south andaman,2019,4,District,22202,andaman-&-nicobar-islands
north and middle andaman,2019,4,District,2955,andaman-&-nicobar-islands
nicobars,2019,4,District,803,andaman-&-nicobar-islands
744103,2020,1,Pincode,6108,andaman-&-nicobar-islands
744101,2020,1,Pincode,4689,andaman-&-nicobar-islands
744105,2020,1,Pincode,4684,andaman-&-nicobar-islands
744102,2020,1,Pincode,3727,andaman-&-nicobar-islands
744202,2020,1,Pincode,1216,andaman-&-nicobar-islands
744104,2020,1,Pincode,1154,andaman-&-nicobar-islands
744107,2020,1,Pincode,1062,andaman-&-nicobar-islands
744112,2020,1,Pincode,889,andaman-&-nicobar-islands
744211,2020,1,Pincode,886,andaman-&-nicobar-islands
744301,2020,1,Pincode,669,andaman-&-nicobar-islands
south andaman,2020,1,District,24174,andaman-&-nicobar-islands
north and middle andaman,2020,1,District,3315,andaman-&-nicobar-islands
nicobars,2020,1,District,879,andaman-&-nicobar-islands
744103,2020,2,Pincode,6804,andaman-&-nicobar-islands
744105,2020,2,Pincode,5479,andaman-&-nicobar-islands
744101,2020,2,Pincode,5365,andaman-&-nicobar-islands
744102,2020,2,Pincode,4066,andaman-&-nicobar-islands
744202,2020,2,Pincode,1475,andaman-&-nicobar-islands
744104,2020,2,Pincode,1333,andaman-&-nicobar-islands
744107,2020,2,Pincode,1252,andaman-&-nicobar-islands
744112,2020,2,Pincode,1039,andaman-&-nicobar-islands
744211,2020,2,Pincode,1036,andaman-&-nicobar-islands
744205,2020,2,Pincode,806,andaman-&-nicobar-islands
south andaman,2020,2,District,27626,andaman-&-nicobar-islands
north and middle andaman,2020,2,District,4100,andaman-&-nicobar-islands
nicobars,2020,2,District,984,andaman-&-nicobar-islands
744103,2020,3,Pincode,8318,andaman-&-nicobar-islands
744105,2020,3,Pincode,7007,andaman-&-nicobar-islands
744101,2020,3,Pincode,6881,andaman-&-nicobar-islands
744102,2020,3,Pincode,4919,andaman-&-nicobar-islands
744202,2020,3,Pincode,1965,andaman-&-nicobar-islands
744104,2020,3,Pincode,1718,andaman-&-nicobar-islands
744107,2020,3,Pincode,1710,andaman-&-nicobar-islands
744112,2020,3,Pincode,1372,andaman-&-nicobar-islands
744211,2020,3,Pincode,1279,andaman-&-nicobar-islands
744205,2020,3,Pincode,1008,andaman-&-nicobar-islands
south andaman,2020,3,District,34833,andaman-&-nicobar-islands
north and middle andaman,2020,3,District,5355,andaman-&-nicobar-islands
nicobars,2020,3,District,1147,andaman-&-nicobar-islands
744103,2020,4,Pincode,10408,andaman-&-nicobar-islands
744105,2020,4,Pincode,8962,andaman-&-nicobar-islands
744101,2020,4,Pincode,8593,andaman-&-nicobar-islands
744102,2020,4,Pincode,5882,andaman-&-nicobar-islands
744202,2020,4,Pincode,2711,andaman-&-nicobar-islands
744107,2020,4,Pincode,2346,andaman-&-nicobar-islands
744104,2020,4,Pincode,2167,andaman-&-nicobar-islands
744112,2020,4,Pincode,1761,andaman-&-nicobar-islands
744211,2020,4,Pincode,1579,andaman-&-nicobar-islands
744205,2020,4,Pincode,1346,andaman-&-nicobar-islands
south andaman,2020,4,District,43908,andaman-&-nicobar-islands
north and middle andaman,2020,4,District,7076,andaman-&-nicobar-islands
nicobars,2020,4,District,1412,andaman-&-nicobar-islands
744103,2021,1,Pincode,11416,andaman-&-nicobar-islands
744105,2021,1,Pincode,9934,andaman-&-nicobar-islands
744101,2021,1,Pincode,9457,andaman-&-nicobar-islands
744102,2021,1,Pincode,6395,andaman-&-nicobar-islands
744202,2021,1,Pincode,3005,andaman-&-nicobar-islands
744107,2021,1,Pincode,2586,andaman-&-nicobar-islands
744104,2021,1,Pincode,2383,andaman-&-nicobar-islands
744112,2021,1,Pincode,1940,andaman-&-nicobar-islands
744211,2021,1,Pincode,1774,andaman-&-nicobar-islands
744205,2021,1,Pincode,1505,andaman-&-nicobar-islands
south andaman,2021,1,District,48352,andaman-&-nicobar-islands
north and middle andaman,2021,1,District,7833,andaman-&-nicobar-islands
nicobars,2021,1,District,1573,andaman-&-nicobar-islands
744103,2021,2,Pincode,12268,andaman-&-nicobar-islands
744105,2021,2,Pincode,10668,andaman-&-nicobar-islands
744101,2021,2,Pincode,10120,andaman-&-nicobar-islands
744102,2021,2,Pincode,6837,andaman-&-nicobar-islands
744202,2021,2,Pincode,3261,andaman-&-nicobar-islands
744107,2021,2,Pincode,2783,andaman-&-nicobar-islands
744104,2021,2,Pincode,2573,andaman-&-nicobar-islands
744112,2021,2,Pincode,2083,andaman-&-nicobar-islands
744211,2021,2,Pincode,1904,andaman-&-nicobar-islands
744205,2021,2,Pincode,1626,andaman-&-nicobar-islands
south andaman,2021,2,District,51903,andaman-&-nicobar-islands
north and middle andaman,2021,2,District,8493,andaman-&-nicobar-islands
nicobars,2021,2,District,1699,andaman-&-nicobar-islands
744103,2021,3,Pincode,13198,andaman-&-nicobar-islands
744105,2021,3,Pincode,11480,andaman-&-nicobar-islands
744101,2021,3,Pincode,10866,andaman-&-nicobar-islands
744102,2021,3,Pincode,7313,andaman-&-nicobar-islands
744202,2021,3,Pincode,3543,andaman-&-nicobar-islands
744107,2021,3,Pincode,3027,andaman-&-nicobar-islands
744104,2021,3,Pincode,2777,andaman-&-nicobar-islands
744112,2021,3,Pincode,2250,andaman-&-nicobar-islands
744211,2021,3,Pincode,2055,andaman-&-nicobar-islands
744205,2021,3,Pincode,1771,andaman-&-nicobar-islands
south andaman,2021,3,District,55873,andaman-&-nicobar-islands
north and middle andaman,2021,3,District,9263,andaman-&-nicobar-islands
nicobars,2021,3,District,1846,andaman-&-nicobar-islands
744103,2021,4,Pincode,14127,andaman-&-nicobar-islands
744105,2021,4,Pincode,12300,andaman-&-nicobar-islands
744101,2021,4,Pincode,11623,andaman-&-nicobar-islands
744102,2021,4,Pincode,7813,andaman-&-nicobar-islands
744202,2021,4,Pincode,3815,andaman-&-nicobar-islands
744107,2021,4,Pincode,3247,andaman-&-nicobar-islands
744104,2021,4,Pincode,2962,andaman-&-nicobar-islands
744112,2021,4,Pincode,2411,andaman-&-nicobar-islands
744211,2021,4,Pincode,2200,andaman-&-nicobar-islands
744205,2021,4,Pincode,1902,andaman-&-nicobar-islands
south andaman,2021,4,District,59807,andaman-&-nicobar-islands
north and middle andaman,2021,4,District,10002,andaman-&-nicobar-islands
nicobars,2021,4,District,1971,andaman-&-nicobar-islands
744103,2022,1,Pincode,15011,andaman-&-nicobar-islands
744105,2022,1,Pincode,13070,andaman-&-nicobar-islands
744101,2022,1,Pincode,12300,andaman-&-nicobar-islands
744102,2022,1,Pincode,8271,andaman-&-nicobar-islands
744202,2022,1,Pincode,4107,andaman-&-nicobar-islands
744107,2022,1,Pincode,3455,andaman-&-nicobar-islands
744104,2022,1,Pincode,3146,andaman-&-nicobar-islands
744112,2022,1,Pincode,2552,andaman-&-nicobar-islands
744211,2022,1,Pincode,2344,andaman-&-nicobar-islands
744205,2022,1,Pincode,2034,andaman-&-nicobar-islands
south andaman,2022,1,District,63487,andaman-&-nicobar-islands
north and middle andaman,2022,1,District,10720,andaman-&-nicobar-islands
nicobars,2022,1,District,2081,andaman-&-nicobar-islands
744103,2022,2,Pincode,15799,andaman-&-nicobar-islands
744105,2022,2,Pincode,13791,andaman-&-nicobar-islands
744101,2022,2,Pincode,12947,andaman-&-nicobar-islands
744102,2022,2,Pincode,8709,andaman-&-nicobar-islands
744202,2022,2,Pincode,4361,andaman-&-nicobar-islands
744107,2022,2,Pincode,3674,andaman-&-nicobar-islands
744104,2022,2,Pincode,3319,andaman-&-nicobar-islands
744112,2022,2,Pincode,2700,andaman-&-nicobar-islands
744211,2022,2,Pincode,2471,andaman-&-nicobar-islands
744205,2022,2,Pincode,2162,andaman-&-nicobar-islands
south andaman,2022,2,District,66959,andaman-&-nicobar-islands
north and middle andaman,2022,2,District,11379,andaman-&-nicobar-islands
nicobars,2022,2,District,2192,andaman-&-nicobar-islands
744103,2022,3,Pincode,16666,andaman-&-nicobar-islands
744105,2022,3,Pincode,14503,andaman-&-nicobar-islands
744101,2022,3,Pincode,13649,andaman-&-nicobar-islands
744102,2022,3,Pincode,9148,andaman-&-nicobar-islands
744202,2022,3,Pincode,4572,andaman-&-nicobar-islands
744107,2022,3,Pincode,3868,andaman-&-nicobar-islands
744104,2022,3,Pincode,3493,andaman-&-nicobar-islands
744112,2022,3,Pincode,2837,andaman-&-nicobar-islands
744211,2022,3,Pincode,2577,andaman-&-nicobar-islands
744205,2022,3,Pincode,2268,andaman-&-nicobar-islands
south andaman,2022,3,District,70445,andaman-&-nicobar-islands
north and middle andaman,2022,3,District,11897,andaman-&-nicobar-islands
nicobars,2022,3,District,2300,andaman-&-nicobar-islands
744103,2022,4,Pincode,17406,andaman-&-nicobar-islands
744105,2022,4,Pincode,15185,andaman-&-nicobar-islands
744101,2022,4,Pincode,14337,andaman-&-nicobar-islands
744102,2022,4,Pincode,9591,andaman-&-nicobar-islands
744202,2022,4,Pincode,4760,andaman-&-nicobar-islands
744107,2022,4,Pincode,4051,andaman-&-nicobar-islands
744104,2022,4,Pincode,3647,andaman-&-nicobar-islands
744112,2022,4,Pincode,2975,andaman-&-nicobar-islands
744211,2022,4,Pincode,2679,andaman-&-nicobar-islands
744205,2022,4,Pincode,2358,andaman-&-nicobar-islands
south andaman,2022,4,District,73692,andaman-&-nicobar-islands
north and middle andaman,2022,4,District,12361,andaman-&-nicobar-islands
nicobars,2022,4,District,2389,andaman-&-nicobar-islands
517501,2018,1,Pincode,39884,andhra-pradesh
530016,2018,1,Pincode,34201,andhra-pradesh
517507,2018,1,Pincode,34111,andhra-pradesh
515001,2018,1,Pincode,31964,andhra-pradesh
516001,2018,1,Pincode,29078,andhra-pradesh
518002,2018,1,Pincode,29043,andhra-pradesh
530026,2018,1,Pincode,26889,andhra-pradesh
516360,2018,1,Pincode,26187,andhra-pradesh
520010,2018,1,Pincode,24397,andhra-pradesh
524002,2018,1,Pincode,23439,andhra-pradesh
visakhapatnam,2018,1,District,497187,andhra-pradesh
east godavari,2018,1,District,350356,andhra-pradesh
krishna,2018,1,District,323673,andhra-pradesh
guntur,2018,1,District,317065,andhra-pradesh
chittoor,2018,1,District,309541,andhra-pradesh
anantapur,2018,1,District,241192,andhra-pradesh
kurnool,2018,1,District,240133,andhra-pradesh
west godavari,2018,1,District,213335,andhra-pradesh
spsr nellore,2018,1,District,194475,andhra-pradesh
prakasam,2018,1,District,189949,andhra-pradesh
517501,2018,2,Pincode,53468,andhra-pradesh
517507,2018,2,Pincode,45241,andhra-pradesh
530016,2018,2,Pincode,43386,andhra-pradesh
515001,2018,2,Pincode,42466,andhra-pradesh
516001,2018,2,Pincode,38402,andhra-pradesh
518002,2018,2,Pincode,37593,andhra-pradesh
516360,2018,2,Pincode,34544,andhra-pradesh
530026,2018,2,Pincode,34126,andhra-pradesh
520010,2018,2,Pincode,31871,andhra-pradesh
524002,2018,2,Pincode,31134,andhra-pradesh
visakhapatnam,2018,2,District,636052,andhra-pradesh
east godavari,2018,2,District,454398,andhra-pradesh
krishna,2018,2,District,431965,andhra-pradesh
guntur,2018,2,District,420326,andhra-pradesh
chittoor,2018,2,District,414306,andhra-pradesh
anantapur,2018,2,District,326383,andhra-pradesh
kurnool,2018,2,District,319313,andhra-pradesh
west godavari,2018,2,District,282393,andhra-pradesh
spsr nellore,2018,2,District,261049,andhra-pradesh
prakasam,2018,2,District,253458,andhra-pradesh
517501,2018,3,Pincode,65157,andhra-pradesh
517507,2018,3,Pincode,54849,andhra-pradesh
530016,2018,3,Pincode,52259,andhra-pradesh
515001,2018,3,Pincode,51449,andhra-pradesh
516001,2018,3,Pincode,46691,andhra-pradesh
518002,2018,3,Pincode,45145,andhra-pradesh
516360,2018,3,Pincode,41963,andhra-pradesh
530026,2018,3,Pincode,40580,andhra-pradesh
520010,2018,3,Pincode,38918,andhra-pradesh
524002,2018,3,Pincode,37559,andhra-pradesh
visakhapatnam,2018,3,District,769096,andhra-pradesh
east godavari,2018,3,District,558982,andhra-pradesh
krishna,2018,3,District,537086,andhra-pradesh
guntur,2018,3,District,518931,andhra-pradesh
chittoor,2018,3,District,515727,andhra-pradesh
anantapur,2018,3,District,405855,andhra-pradesh
kurnool,2018,3,District,394311,andhra-pradesh
west godavari,2018,3,District,349782,andhra-pradesh
spsr nellore,2018,3,District,322446,andhra-pradesh
prakasam,2018,3,District,314899,andhra-pradesh
517501,2018,4,Pincode,82873,andhra-pradesh
517507,2018,4,Pincode,70421,andhra-pradesh
530016,2018,4,Pincode,65549,andhra-pradesh
515001,2018,4,Pincode,63576,andhra-pradesh
516001,2018,4,Pincode,58028,andhra-pradesh
518002,2018,4,Pincode,55735,andhra-pradesh
516360,2018,4,Pincode,52058,andhra-pradesh
530026,2018,4,Pincode,51900,andhra-pradesh
520010,2018,4,Pincode,48991,andhra-pradesh
524002,2018,4,Pincode,46616,andhra-pradesh
visakhapatnam,2018,4,District,978288,andhra-pradesh
east godavari,2018,4,District,694455,andhra-pradesh
krishna,2018,4,District,682479,andhra-pradesh
chittoor,2018,4,District,665280,andhra-pradesh
guntur,2018,4,District,659552,andhra-pradesh
anantapur,2018,4,District,510892,andhra-pradesh
kurnool,2018,4,District,498582,andhra-pradesh
west godavari,2018,4,District,435668,andhra-pradesh
spsr nellore,2018,4,District,407495,andhra-pradesh
prakasam,2018,4,District,394962,andhra-pradesh
517501,2019,1,Pincode,100561,andhra-pradesh
517507,2019,1,Pincode,85980,andhra-pradesh
530016,2019,1,Pincode,77790,andhra-pradesh
515001,2019,1,Pincode,75171,andhra-pradesh
516001,2019,1,Pincode,68514,andhra-pradesh
518002,2019,1,Pincode,66689,andhra-pradesh
530026,2019,1,Pincode,61623,andhra-pradesh
516360,2019,1,Pincode,60798,andhra-pradesh
520010,2019,1,Pincode,59055,andhra-pradesh
524002,2019,1,Pincode,55931,andhra-pradesh
visakhapatnam,2019,1,District,1174517,andhra-pradesh
east godavari,2019,1,District,839277,andhra-pradesh
krishna,2019,1,District,833694,andhra-pradesh
chittoor,2019,1,District,812314,andhra-pradesh
guntur,2019,1,District,802394,andhra-pradesh
anantapur,2019,1,District,612162,andhra-pradesh
kurnool,2019,1,District,599422,andhra-pradesh
west godavari,2019,1,District,523372,andhra-pradesh
spsr nellore,2019,1,District,491908,andhra-pradesh
prakasam,2019,1,District,474260,andhra-pradesh
517501,2019,2,Pincode,113033,andhra-pradesh
517507,2019,2,Pincode,97534,andhra-pradesh
530016,2019,2,Pincode,87556,andhra-pradesh
515001,2019,2,Pincode,84157,andhra-pradesh
516001,2019,2,Pincode,76617,andhra-pradesh
518002,2019,2,Pincode,75952,andhra-pradesh
530026,2019,2,Pincode,68283,andhra-pradesh
516360,2019,2,Pincode,66885,andhra-pradesh
520010,2019,2,Pincode,66082,andhra-pradesh
524002,2019,2,Pincode,62933,andhra-pradesh
visakhapatnam,2019,2,District,1318740,andhra-pradesh
krishna,2019,2,District,952300,andhra-pradesh
east godavari,2019,2,District,945181,andhra-pradesh
chittoor,2019,2,District,925491,andhra-pradesh
guntur,2019,2,District,915256,andhra-pradesh
anantapur,2019,2,District,695114,andhra-pradesh
kurnool,2019,2,District,680118,andhra-pradesh
west godavari,2019,2,District,592185,andhra-pradesh
spsr nellore,2019,2,District,558303,andhra-pradesh
prakasam,2019,2,District,539462,andhra-pradesh
517501,2019,3,Pincode,124727,andhra-pradesh
517507,2019,3,Pincode,108199,andhra-pradesh
530016,2019,3,Pincode,97323,andhra-pradesh
515001,2019,3,Pincode,93191,andhra-pradesh
518002,2019,3,Pincode,84918,andhra-pradesh
516001,2019,3,Pincode,84693,andhra-pradesh
530026,2019,3,Pincode,74501,andhra-pradesh
516360,2019,3,Pincode,73267,andhra-pradesh
520010,2019,3,Pincode,72722,andhra-pradesh
524002,2019,3,Pincode,69783,andhra-pradesh
visakhapatnam,2019,3,District,1460464,andhra-pradesh
krishna,2019,3,District,1066546,andhra-pradesh
east godavari,2019,3,District,1057167,andhra-pradesh
chittoor,2019,3,District,1032733,andhra-pradesh
guntur,2019,3,District,1026418,andhra-pradesh
anantapur,2019,3,District,773656,andhra-pradesh
kurnool,2019,3,District,755024,andhra-pradesh
west godavari,2019,3,District,662102,andhra-pradesh
spsr nellore,2019,3,District,619592,andhra-pradesh
prakasam,2019,3,District,598568,andhra-pradesh
517501,2019,4,Pincode,136436,andhra-pradesh
517507,2019,4,Pincode,119146,andhra-pradesh
530016,2019,4,Pincode,106404,andhra-pradesh
515001,2019,4,Pincode,102848,andhra-pradesh
516001,2019,4,Pincode,94209,andhra-pradesh
518002,2019,4,Pincode,94193,andhra-pradesh
516360,2019,4,Pincode,81619,andhra-pradesh
530026,2019,4,Pincode,81191,andhra-pradesh
520010,2019,4,Pincode,79453,andhra-pradesh
524002,2019,4,Pincode,77681,andhra-pradesh
visakhapatnam,2019,4,District,1620235,andhra-pradesh
krishna,2019,4,District,1199971,andhra-pradesh
east godavari,2019,4,District,1195228,andhra-pradesh
guntur,2019,4,District,1158708,andhra-pradesh
chittoor,2019,4,District,1156351,andhra-pradesh
anantapur,2019,4,District,873033,andhra-pradesh
kurnool,2019,4,District,846885,andhra-pradesh
west godavari,2019,4,District,750078,andhra-pradesh
spsr nellore,2019,4,District,697154,andhra-pradesh
prakasam,2019,4,District,673522,andhra-pradesh
517501,2020,1,Pincode,146823,andhra-pradesh
517507,2020,1,Pincode,129214,andhra-pradesh
530016,2020,1,Pincode,114042,andhra-pradesh
515001,2020,1,Pincode,111359,andhra-pradesh
518002,2020,1,Pincode,102905,andhra-pradesh
516001,2020,1,Pincode,102893,andhra-pradesh
516360,2020,1,Pincode,89774,andhra-pradesh
530026,2020,1,Pincode,87449,andhra-pradesh
524002,2020,1,Pincode,85878,andhra-pradesh
520010,2020,1,Pincode,85779,andhra-pradesh
visakhapatnam,2020,1,District,1763581,andhra-pradesh
krishna,2020,1,District,1331602,andhra-pradesh
east godavari,2020,1,District,1329664,andhra-pradesh
guntur,2020,1,District,1289678,andhra-pradesh
chittoor,2020,1,District,1270907,andhra-pradesh
anantapur,2020,1,District,971850,andhra-pradesh
kurnool,2020,1,District,936293,andhra-pradesh
west godavari,2020,1,District,843835,andhra-pradesh
spsr nellore,2020,1,District,775440,andhra-pradesh
prakasam,2020,1,District,748655,andhra-pradesh
517501,2020,2,Pincode,156221,andhra-pradesh
517507,2020,2,Pincode,138735,andhra-pradesh
530016,2020,2,Pincode,120621,andhra-pradesh
515001,2020,2,Pincode,119223,andhra-pradesh
518002,2020,2,Pincode,112673,andhra-pradesh
516001,2020,2,Pincode,111898,andhra-pradesh
516360,2020,2,Pincode,98803,andhra-pradesh
524002,2020,2,Pincode,93834,andhra-pradesh
530026,2020,2,Pincode,93224,andhra-pradesh
520010,2020,2,Pincode,91299,andhra-pradesh
visakhapatnam,2020,2,District,1904719,andhra-pradesh
east godavari,2020,2,District,1459116,andhra-pradesh
krishna,2020,2,District,1459041,andhra-pradesh
guntur,2020,2,District,1426271,andhra-pradesh
chittoor,2020,2,District,1385916,andhra-pradesh
anantapur,2020,2,District,1076953,andhra-pradesh
kurnool,2020,2,District,1035093,andhra-pradesh
west godavari,2020,2,District,944829,andhra-pradesh
spsr nellore,2020,2,District,854459,andhra-pradesh
prakasam,2020,2,District,830709,andhra-pradesh
517501,2020,3,Pincode,166768,andhra-pradesh
517507,2020,3,Pincode,149001,andhra-pradesh
515001,2020,3,Pincode,128227,andhra-pradesh
530016,2020,3,Pincode,128059,andhra-pradesh
518002,2020,3,Pincode,121529,andhra-pradesh
516001,2020,3,Pincode,120997,andhra-pradesh
516360,2020,3,Pincode,108073,andhra-pradesh
524002,2020,3,Pincode,102103,andhra-pradesh
530026,2020,3,Pincode,99754,andhra-pradesh
520010,2020,3,Pincode,97752,andhra-pradesh
visakhapatnam,2020,3,District,2058346,andhra-pradesh
east godavari,2020,3,District,1601940,andhra-pradesh
krishna,2020,3,District,1599289,andhra-pradesh
guntur,2020,3,District,1567595,andhra-pradesh
chittoor,2020,3,District,1506503,andhra-pradesh
anantapur,2020,3,District,1186851,andhra-pradesh
kurnool,2020,3,District,1132240,andhra-pradesh
west godavari,2020,3,District,1053674,andhra-pradesh
spsr nellore,2020,3,District,937176,andhra-pradesh
prakasam,2020,3,District,915240,andhra-pradesh
517501,2020,4,Pincode,178328,andhra-pradesh
517507,2020,4,Pincode,160062,andhra-pradesh
515001,2020,4,Pincode,137945,andhra-pradesh
530016,2020,4,Pincode,136049,andhra-pradesh
518002,2020,4,Pincode,130871,andhra-pradesh
516001,2020,4,Pincode,130500,andhra-pradesh
516360,2020,4,Pincode,117397,andhra-pradesh
524002,2020,4,Pincode,110746,andhra-pradesh
530026,2020,4,Pincode,106320,andhra-pradesh
520010,2020,4,Pincode,104956,andhra-pradesh
visakhapatnam,2020,4,District,2209658,andhra-pradesh
east godavari,2020,4,District,1746280,andhra-pradesh
krishna,2020,4,District,1744028,andhra-pradesh
guntur,2020,4,District,1712940,andhra-pradesh
chittoor,2020,4,District,1631331,andhra-pradesh
anantapur,2020,4,District,1295872,andhra-pradesh
kurnool,2020,4,District,1230466,andhra-pradesh
west godavari,2020,4,District,1163179,andhra-pradesh
spsr nellore,2020,4,District,1022944,andhra-pradesh
prakasam,2020,4,District,999462,andhra-pradesh
517501,2021,1,Pincode,190712,andhra-pradesh
517507,2021,1,Pincode,171417,andhra-pradesh
515001,2021,1,Pincode,147941,andhra-pradesh
530016,2021,1,Pincode,145206,andhra-pradesh
518002,2021,1,Pincode,140153,andhra-pradesh
516001,2021,1,Pincode,139840,andhra-pradesh
516360,2021,1,Pincode,126260,andhra-pradesh
524002,2021,1,Pincode,118730,andhra-pradesh
530026,2021,1,Pincode,113581,andhra-pradesh
520010,2021,1,Pincode,112324,andhra-pradesh
